Incident_types,Subgroups,Impacts,Average_Resolution_Time_Hour
Capacity Incident,Verodin Endpoint Service,3 - Medium,7.586875
Capacity Incident,Verodin Endpoint Service,4 - Low,43.08157407407407
Capacity Incident,Verodin Endpoint Service,2 - High,0.8344701646090535
Capacity Incident,Verodin Endpoint Service,1 - Major,
Capacity Incident,vm state,3 - Medium,
Capacity Incident,vm state,4 - Low,
Capacity Incident,vm state,2 - High,130.28694444444446
Capacity Incident,vm state,1 - Major,
Capacity Incident,VSphere VM Backup Failure,3 - Medium,
Capacity Incident,VSphere VM Backup Failure,4 - Low,24.1875
Capacity Incident,VSphere VM Backup Failure,2 - High,
Capacity Incident,VSphere VM Backup Failure,1 - Major,
Capacity Incident,Windows CPU WMI,3 - Medium,16.902799145299145
Capacity Incident,Windows CPU WMI,4 - Low,
Capacity Incident,Windows CPU WMI,2 - High,
Capacity Incident,Windows CPU WMI,1 - Major,
Capacity Incident,Windows Diskall WMI,3 - Medium,28.388936781609196
Capacity Incident,Windows Diskall WMI,4 - Low,
Capacity Incident,Windows Diskall WMI,2 - High,6.625050505050505
Capacity Incident,Windows Diskall WMI,1 - Major,
Capacity Incident,Windows Mem WMI,3 - Medium,3.5501944444444447
Capacity Incident,Windows Mem WMI,4 - Low,
Capacity Incident,Windows Mem WMI,2 - High,2.1775
Capacity Incident,Windows Mem WMI,1 - Major,
Capacity Incident,Windows Service WMI,3 - Medium,7.198823653198653
Capacity Incident,Windows Service WMI,4 - Low,0.28805555555555556
Capacity Incident,Windows Service WMI,2 - High,1.4858459595959597
Capacity Incident,Windows Service WMI,1 - Major,
Capacity Incident,Windows Uptime WMI,3 - Medium,4.9127777777777775
Capacity Incident,Windows Uptime WMI,4 - Low,
Capacity Incident,Windows Uptime WMI,2 - High,2.73375
Capacity Incident,Windows Uptime WMI,1 - Major,
Service Request Incident,ail,3 - Medium,326.9270043572985
Service Request Incident,ail,4 - Low,61.47147286307788
Service Request Incident,ail,2 - High,89.2237962962963
Service Request Incident,ail,1 - Major,
Service Request Incident,eapp,3 - Medium,1127.3455555555556
Service Request Incident,eapp,4 - Low,52.48218009599673
Service Request Incident,eapp,2 - High,
Service Request Incident,eapp,1 - Major,
Service Request Incident,gl,3 - Medium,148.21974074074075
Service Request Incident,gl,4 - Low,59.22433097205824
Service Request Incident,gl,2 - High,191.62472222222223
Service Request Incident,gl,1 - Major,
Service Request Incident,amex,3 - Medium,8.64247908496732
Service Request Incident,amex,4 - Low,0.5580555555555555
Service Request Incident,amex,2 - High,6.612240143369176
Service Request Incident,amex,1 - Major,
Service Request Incident,Backup,3 - Medium,43.85375233146816
Service Request Incident,Backup,4 - Low,21.159555555555553
Service Request Incident,Backup,2 - High,1.1322222222222222
Service Request Incident,Backup,1 - Major,
Service Request Incident,citrix,3 - Medium,141.0766255144033
Service Request Incident,citrix,4 - Low,33.77367503156566
Service Request Incident,citrix,2 - High,9.9525
Service Request Incident,citrix,1 - Major,
Service Request Incident,mid server,3 - Medium,23.947757817697937
Service Request Incident,mid server,4 - Low,0.9061111111111111
Service Request Incident,mid server,2 - High,
Service Request Incident,mid server,1 - Major,
Service Request Incident,mb notification,3 - Medium,99.58993298368298
Service Request Incident,mb notification,4 - Low,
Service Request Incident,mb notification,2 - High,56.46402777777778
Service Request Incident,mb notification,1 - Major,
Service Request Incident,jabber,3 - Medium,72.20177469135803
Service Request Incident,jabber,4 - Low,36.841729066022545
Service Request Incident,jabber,2 - High,
Service Request Incident,jabber,1 - Major,
Service Request Incident,finesse,3 - Medium,26.339791666666667
Service Request Incident,finesse,4 - Low,74.51581233850129
Service Request Incident,finesse,2 - High,
Service Request Incident,finesse,1 - Major,
Service Request Incident,hyper v,3 - Medium,21.76635780885781
Service Request Incident,hyper v,4 - Low,
Service Request Incident,hyper v,2 - High,27.50027777777778
Service Request Incident,hyper v,1 - Major,
Service Request Incident,fhl,3 - Medium,30.235263888888888
Service Request Incident,fhl,4 - Low,154.33132530120483
Service Request Incident,fhl,2 - High,10.05099074074074
Service Request Incident,fhl,1 - Major,
Service Request Incident,soc,3 - Medium,26.177777777777777
Service Request Incident,soc,4 - Low,152.85877777777776
Service Request Incident,soc,2 - High,57.988768939393935
Service Request Incident,soc,1 - Major,
Service Request Incident,metricstream,3 - Medium,610.6890170940171
Service Request Incident,metricstream,4 - Low,373.79195726495726
Service Request Incident,metricstream,2 - High,
Service Request Incident,metricstream,1 - Major,
Service Request Incident,cluster,3 - Medium,113.76944444444445
Service Request Incident,cluster,4 - Low,171.0561111111111
Service Request Incident,cluster,2 - High,114.91521953405018
Service Request Incident,cluster,1 - Major,
Service Request Incident,vm state,3 - Medium,
Service Request Incident,vm state,4 - Low,
Service Request Incident,vm state,2 - High,49.0569358974359
Service Request Incident,vm state,1 - Major,
Service Request Incident,srms,3 - Medium,808.4492777777778
Service Request Incident,srms,4 - Low,
Service Request Incident,srms,2 - High,
Service Request Incident,srms,1 - Major,
Service Request Incident,Physical disk,3 - Medium,184.96418560606062
Service Request Incident,Physical disk,4 - Low,
Service Request Incident,Physical disk,2 - High,
Service Request Incident,Physical disk,1 - Major,
Service Request Incident,eserve,3 - Medium,
Service Request Incident,eserve,4 - Low,351.0708950617284
Service Request Incident,eserve,2 - High,
Service Request Incident,eserve,1 - Major,
Service Request Incident,itsm,3 - Medium,209.59786231884058
Service Request Incident,itsm,4 - Low,
Service Request Incident,itsm,2 - High,
Service Request Incident,itsm,1 - Major,
Service Request Incident,replication,3 - Medium,
Service Request Incident,replication,4 - Low,650.4605555555555
Service Request Incident,replication,2 - High,30.525858585858586
Service Request Incident,replication,1 - Major,
Service Request Incident,jsnd,3 - Medium,272.06927083333335
Service Request Incident,jsnd,4 - Low,
Service Request Incident,jsnd,2 - High,
Service Request Incident,jsnd,1 - Major,
Service Request Incident,unidentified,3 - Medium,102.89124715804913
Service Request Incident,unidentified,4 - Low,66.6143032032527
Service Request Incident,unidentified,2 - High,16.469059476525103
Service Request Incident,unidentified,1 - Major,21.369305555555556
Cloud Maintenance Incident,Amex,3 - Medium,
Cloud Maintenance Incident,Amex,4 - Low,
Cloud Maintenance Incident,Amex,2 - High,5.349814814814814
Cloud Maintenance Incident,Amex,1 - Major,
DB Incident,AMEX,3 - Medium,88.726875
DB Incident,AMEX,4 - Low,
DB Incident,AMEX,2 - High,6.274259259259259
